App Name,Category,Installs,Rating,Target_SDK,Has_Fine_Loc,Has_Background_Loc,Has_Post_Notif,Declared_FGS_Types,Embedded_Trackers
App1,Health & Fitness,"100,000,000+",4.6,35,TRUE,FALSE,TRUE,"0x00000008, 0x00000800","Firebase_Analytics, Google_Location_SDK"
App2,Health & Fitness,"10,000,000+",4.75,36,TRUE,FALSE,TRUE,"0x00000001, 0x00000008","Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App3,Health & Fitness,"50,000,000+",4.19,36,TRUE,FALSE,TRUE,"0x00000001, 0x00000108","Firebase_Analytics, Google_Location_SDK"
App4,Health & Fitness,"100,000,000+",4.16,36,TRUE,TRUE,TRUE,"0x00000018, 0x00000008, 0x00000002, 0x00000800","Firebase_Analytics, Google_Location_SDK"
App5,Travel & Local,"50,000,000+",4.19,35,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App6,Maps & Navigation,"10,000,000+",3.25,35,TRUE,FALSE,TRUE,"0x00000001, 0x00000010, 0x00000008",Google_Location_SDK
App7,Maps & Navigation,"10,000,000+",3.25,35,TRUE,FALSE,TRUE,"0x00000008, 0x00000002","Firebase_Analytics, Google_Location_SDK"
App8,Travel & Local,"10,000,000+",4.5,35,TRUE,FALSE,TRUE,"0x00000001, 0x00000008",Google_Location_SDK
App9,Health & Fitness,"10,000,000+",3.83,35,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App10,Health & Fitness,"10,000,000+",4.62,36,TRUE,FALSE,TRUE,"0x00000001, 0x00000008, 0x00000020","Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App11,Maps & Navigation,"1,000,000+",3.39,35,TRUE,FALSE,TRUE,"0x00000001, 0x00000008","Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App12,Maps & Navigation,"10,000,000+",4.62,36,TRUE,FALSE,TRUE,0x00000008,Google_Location_SDK
App13,Maps & Navigation,"10,000,000+",4.81,35,TRUE,TRUE,TRUE,"0x40000000, 0x00000008","Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App14,Health & Fitness,"50,000,000+",4.64,36,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App15,Health & Fitness,"10,000,000+",4.16,35,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App16,Health & Fitness,"10,000,000+",4.78,35,TRUE,FALSE,TRUE,"0x00000800, 0x0000000A","Firebase_Analytics, Google_Location_SDK"
App17,Health & Fitness,"5,000,000+",4.76,35,TRUE,FALSE,TRUE,"0x00000800, 0x0000000A","Firebase_Analytics, Google_Location_SDK"
App18,Health & Fitness,"1,000,000+",4.06,36,TRUE,FALSE,TRUE,0x0000000A,"Firebase_Analytics, Google_Location_SDK"
App19,Health & Fitness,"10,000,000+",3.06,35,TRUE,TRUE,TRUE,"0x00000001, 0x00000008","Firebase_Analytics, Google_Location_SDK"
App20,Communication,"10,000,000+",4.58,35,TRUE,TRUE,TRUE,"0x00000008, 0x00000800","Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App21,Sports,"500,000+",4.75,36,TRUE,TRUE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App22,Maps & Navigation,"1,000,000+",3.44,35,TRUE,FALSE,TRUE,"0x00000001, 0x00000008, 0x00000020","Firebase_Analytics, Google_Location_SDK"
App23,Sports,"5,000,000+",4.55,36,TRUE,TRUE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App24,Sports,"5,000,000+",4.47,36,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App25,Sports,"1,000,000+",2.8,35,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App26,Maps & Navigation,"1,000,000+",4.53,35,TRUE,FALSE,TRUE,"0x00000001, 0x00000009, 0x00000008","Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
